Value,Category
#1bff40 has 36 warming points and 700 minimum,Low Temperature (cold) 700
#280600 has 220 warming points and 700 minimum,Low Temperature (cold) 700
#1bfff4 has 36 warming points and 700 minimum,Low Temperature (cold) 700
#1afff3 has 36 warming points and 700 minimum,Low Temperature (cold) 700
#009e93 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#00897e has 0 warming points and 700 minimum,Low Temperature (cold) 700
#17ff3a has 30 warming points and 700 minimum,Low Temperature (cold) 700
#13ff38 has 24 warming points and 700 minimum,Low Temperature (cold) 700
#1a001b has 135 warming points and 700 minimum,Low Temperature (cold) 700
#190019 has 130 warming points and 700 minimum,Low Temperature (cold) 700
#1c001d has 145 warming points and 700 minimum,Low Temperature (cold) 700
#1d001e has 150 warming points and 700 minimum,Low Temperature (cold) 700
#1f0020 has 161 warming points and 700 minimum,Low Temperature (cold) 700
#210022 has 171 warming points and 700 minimum,Low Temperature (cold) 700
#b600bc has 946 warming points and 700 minimum,Hight Temperature (warm) 700
#0558ff has 6 warming points and 700 minimum,Low Temperature (cold) 700
#a600bc has 863 warming points and 700 minimum,Hight Temperature (warm) 700
#001533 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#01f2ff has 0 warming points and 700 minimum,Low Temperature (cold) 700
#09fff7 has 10 warming points and 700 minimum,Low Temperature (cold) 700
#00e9e2 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#0918ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#0960ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#09fff9 has 10 warming points and 700 minimum,Low Temperature (cold) 700
#09fffb has 10 warming points and 700 minimum,Low Temperature (cold) 700
#09fffc has 10 warming points and 700 minimum,Low Temperature (cold) 700
#09fffe has 10 warming points and 700 minimum,Low Temperature (cold) 700
#09ffff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#09fdff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#09fcff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#09faff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#09f8ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#09f6ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#09f5ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#09f3ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#1eff45 has 42 warming points and 700 minimum,Low Temperature (cold) 700
#0af4ff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#270026 has 202 warming points and 700 minimum,Low Temperature (cold) 700
#06f3ff has 8 warming points and 700 minimum,Low Temperature (cold) 700
#250024 has 192 warming points and 700 minimum,Low Temperature (cold) 700
#240023 has 187 warming points and 700 minimum,Low Temperature (cold) 700
#220021 has 176 warming points and 700 minimum,Low Temperature (cold) 700
#20001f has 166 warming points and 700 minimum,Low Temperature (cold) 700
#1e001d has 156 warming points and 700 minimum,Low Temperature (cold) 700
#1d001c has 150 warming points and 700 minimum,Low Temperature (cold) 700
#1b0019 has 140 warming points and 700 minimum,Low Temperature (cold) 700
#190017 has 130 warming points and 700 minimum,Low Temperature (cold) 700
#0f011a has 78 warming points and 700 minimum,Low Temperature (cold) 700
#1a0017 has 135 warming points and 700 minimum,Low Temperature (cold) 700
#1a003a has 135 warming points and 700 minimum,Low Temperature (cold) 700
#2e004a has 239 warming points and 700 minimum,Low Temperature (cold) 700
#540054 has 436 warming points and 700 minimum,Low Temperature (cold) 700
#09c0ff has 10 warming points and 700 minimum,Low Temperature (cold) 700
#0bbdff has 14 warming points and 700 minimum,Low Temperature (cold) 700
#640061 has 520 warming points and 700 minimum,Low Temperature (cold) 700
#12bfff has 24 warming points and 700 minimum,Low Temperature (cold) 700
#17c1ff has 30 warming points and 700 minimum,Low Temperature (cold) 700
#77006e has 618 warming points and 700 minimum,Low Temperature (cold) 700
#24c9ff has 50 warming points and 700 minimum,Low Temperature (cold) 700
#27c9ff has 52 warming points and 700 minimum,Low Temperature (cold) 700
#82077d has 676 warming points and 700 minimum,Low Temperature (cold) 700
#63ff87 has 136 warming points and 700 minimum,Low Temperature (cold) 700
